                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2719,                 1.1183,                 1.2958,                0.73423,                0.71989,                0.78322,                0.50514,                 1.1798,                0.98847,                 1.3276,                0.07006,              0.0033266,              0.0033266
                      1,                 1.1583,                0.89854,                 1.2004,                0.71355,                0.74295,                0.78487,                0.51841,                 1.1591,                0.95057,                 1.2787,               0.039994,               0.006594,               0.006594
                      2,                  1.179,                0.91512,                 1.2027,                0.83058,                0.66259,                0.75768,                0.48356,                 1.2341,                  1.051,                 1.3836,              0.0098625,              0.0097954,              0.0097954
                      3,                 1.2164,                0.97401,                 1.2316,                0.70953,                0.74919,                0.79557,                0.48755,                 1.2508,                0.99978,                 1.3601,               0.009703,               0.009703,               0.009703
                      4,                  1.235,                0.99967,                 1.2356,                0.67262,                 0.7794,                0.78233,                0.47715,                  1.258,                 1.1383,                 1.3719,               0.009703,               0.009703,               0.009703
                      5,                 1.1941,                 0.9371,                 1.2084,                0.71963,                0.68357,                0.72711,                0.46164,                  1.235,                 1.1848,                 1.3884,               0.009604,               0.009604,               0.009604
                      6,                 1.2112,                0.95012,                 1.2461,                0.68481,                0.73758,                0.73148,                0.47099,                 1.2178,                 1.1841,                 1.3814,               0.009505,               0.009505,               0.009505
                      7,                 1.1717,                0.89398,                  1.218,                0.78425,                0.74453,                0.79886,                0.50129,                 1.2949,                0.98356,                 1.4422,               0.009406,               0.009406,               0.009406
                      8,                 1.1682,                0.88729,                 1.2051,                0.70924,                0.68337,                0.74477,                0.47581,                  1.275,                 1.0809,                 1.4442,               0.009307,               0.009307,               0.009307
                      9,                 1.1408,                0.86092,                 1.1942,                0.74788,                0.74428,                0.76773,                0.46974,                 1.2917,                 1.1489,                 1.4617,               0.009208,               0.009208,               0.009208
                     10,                 1.1159,                0.82715,                  1.175,                0.74648,                0.73055,                0.76256,                  0.503,                 1.1766,                 1.0529,                 1.3293,               0.009109,               0.009109,               0.009109
                     11,                 1.1134,                0.81607,                  1.171,                0.75108,                0.72355,                0.76917,                0.50151,                 1.1641,                0.97238,                 1.3363,                0.00901,                0.00901,                0.00901
                     12,                 1.0829,                0.79183,                 1.1632,                0.74953,                0.63108,                0.69875,                0.45548,                 1.3035,                  1.225,                 1.4779,               0.008911,               0.008911,               0.008911
                     13,                 1.0834,                0.78991,                 1.1676,                0.73597,                0.74292,                0.77222,                0.49867,                 1.1854,                 1.0301,                 1.3609,               0.008812,               0.008812,               0.008812
                     14,                 1.0593,                0.76491,                 1.1495,                0.77316,                0.69937,                0.72965,                0.47288,                  1.228,                 1.1468,                 1.4311,               0.008713,               0.008713,               0.008713
                     15,                 1.0409,                0.75674,                 1.1434,                0.79256,                  0.691,                0.76671,                0.50979,                 1.1467,                 1.0103,                 1.3476,               0.008614,               0.008614,               0.008614
                     16,                 1.0279,                0.72298,                 1.1353,                0.80155,                0.74421,                0.78603,                0.53483,                 1.1585,                0.94134,                 1.3705,               0.008515,               0.008515,               0.008515
                     17,                 1.0085,                0.72523,                 1.1323,                 0.7263,                0.76167,                0.81361,                 0.5372,                 1.1476,                0.89743,                 1.3291,               0.008416,               0.008416,               0.008416
