                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3186,                  3.696,                 1.2635,                0.04982,                0.12733,                0.04088,                0.02631,                 1.0396,                 3.6221,                 1.1986,               0.066822,             3.3181e-06,             3.3181e-06
                      1,                 1.2998,                 3.0715,                 1.2329,                0.10284,                0.16637,                 0.0854,                0.05986,                 1.0322,                  3.149,                 1.1855,               0.033492,             6.6293e-06,             6.6293e-06
                      2,                 1.3113,                  2.754,                 1.2453,                 0.1488,                 0.3377,                0.14585,                0.10329,                 1.0299,                 2.8195,                 1.1776,             0.00016213,             9.9182e-06,             9.9182e-06
                      3,                 1.2882,                 2.3987,                 1.2194,                0.34333,                0.34737,                0.31665,                  0.221,                 1.0282,                 2.5644,                 1.1757,                9.9e-06,                9.9e-06,                9.9e-06
                      4,                 1.2991,                 2.1714,                  1.224,                0.36325,                 0.3666,                0.38013,                0.26645,                 1.0131,                 2.4818,                 1.1651,                9.9e-06,                9.9e-06,                9.9e-06
                      5,                 1.2798,                 1.9604,                 1.2085,                0.30371,                0.45996,                0.42203,                0.29442,                 1.0073,                 2.3086,                 1.1603,             9.8667e-06,             9.8667e-06,             9.8667e-06
                      6,                   1.25,                 1.8782,                  1.217,                0.33916,                0.56526,                0.44117,                0.30607,                 1.0018,                 2.1661,                 1.1502,             9.8333e-06,             9.8333e-06,             9.8333e-06
                      7,                 1.2652,                 1.7952,                  1.209,                0.36936,                 0.6533,                0.46849,                 0.3238,                0.99561,                 2.0625,                 1.1464,                9.8e-06,                9.8e-06,                9.8e-06
                      8,                 1.2548,                 1.6977,                 1.1913,                0.41736,                0.66889,                0.51081,                0.35322,                0.98682,                 1.9698,                 1.1379,             9.7667e-06,             9.7667e-06,             9.7667e-06
                      9,                  1.259,                 1.6189,                 1.2021,                0.47225,                0.70816,                0.54724,                0.37874,                0.98812,                 1.9336,                 1.1374,             9.7333e-06,             9.7333e-06,             9.7333e-06
                     10,                 1.2576,                 1.6151,                   1.21,                0.48856,                 0.7128,                0.57602,                0.39675,                0.97919,                 1.8486,                 1.1303,                9.7e-06,                9.7e-06,                9.7e-06
                     11,                  1.237,                 1.5596,                 1.2062,                0.48241,                0.72511,                0.60581,                0.41374,                0.97673,                 1.7821,                  1.126,             9.6667e-06,             9.6667e-06,             9.6667e-06
                     12,                 1.2492,                 1.5114,                 1.1898,                0.51537,                0.74553,                0.62452,                 0.4273,                0.97476,                 1.7487,                 1.1256,             9.6333e-06,             9.6333e-06,             9.6333e-06
                     13,                 1.2457,                 1.4929,                 1.2012,                 0.5356,                0.75067,                 0.6568,                0.45145,                0.97109,                 1.7387,                 1.1235,                9.6e-06,                9.6e-06,                9.6e-06
                     14,                 1.2488,                 1.4478,                 1.1973,                0.54274,                0.70872,                0.65351,                0.44633,                0.96718,                    1.7,                  1.122,             9.5667e-06,             9.5667e-06,             9.5667e-06
                     15,                 1.2468,                 1.4079,                 1.1847,                0.56858,                0.74234,                0.67625,                0.46421,                 0.9643,                 1.6952,                 1.1204,             9.5333e-06,             9.5333e-06,             9.5333e-06
                     16,                 1.2431,                 1.4085,                 1.2164,                0.57845,                0.74709,                0.67939,                0.46854,                0.95923,                 1.6787,                 1.1131,                9.5e-06,                9.5e-06,                9.5e-06
                     17,                 1.2339,                 1.3386,                 1.1832,                0.58685,                0.76448,                 0.6822,                0.47004,                0.95869,                 1.6284,                 1.1136,             9.4667e-06,             9.4667e-06,             9.4667e-06
                     18,                 1.2143,                 1.3525,                 1.1934,                0.59812,                 0.7618,                0.69499,                0.47981,                0.95908,                 1.5988,                 1.1129,             9.4333e-06,             9.4333e-06,             9.4333e-06
                     19,                  1.232,                 1.3215,                 1.1856,                0.61731,                0.77576,                0.71474,                0.49072,                0.95136,                 1.5402,                 1.1092,                9.4e-06,                9.4e-06,                9.4e-06
                     20,                 1.2226,                 1.3045,                 1.1588,                0.60915,                0.78439,                 0.7141,                0.49393,                0.94559,                 1.5489,                 1.1085,             9.3667e-06,             9.3667e-06,             9.3667e-06
                     21,                 1.2159,                  1.288,                 1.1727,                0.60786,                0.79004,                0.71819,                  0.496,                0.94695,                 1.5579,                 1.1074,             9.3333e-06,             9.3333e-06,             9.3333e-06
                     22,                 1.2147,                 1.2583,                 1.1856,                0.60018,                0.79838,                0.72716,                0.50658,                0.94324,                 1.5311,                 1.1043,                9.3e-06,                9.3e-06,                9.3e-06
                     23,                 1.2087,                 1.2631,                 1.1694,                0.61195,                0.79301,                0.72138,                0.50048,                0.94513,                 1.5084,                 1.1068,             9.2667e-06,             9.2667e-06,             9.2667e-06
                     24,                 1.2153,                 1.2442,                 1.1759,                0.62092,                0.79615,                0.73582,                0.51241,                0.94268,                 1.4832,                 1.1037,             9.2333e-06,             9.2333e-06,             9.2333e-06
                     25,                 1.2228,                 1.2596,                 1.1918,                0.62517,                0.80717,                 0.7463,                0.52128,                0.93562,                 1.4462,                    1.1,                9.2e-06,                9.2e-06,                9.2e-06
                     26,                 1.2079,                 1.2631,                 1.1885,                0.61653,                0.81047,                0.74908,                0.52508,                0.93393,                 1.4373,                 1.0971,             9.1667e-06,             9.1667e-06,             9.1667e-06
                     27,                 1.1879,                 1.2064,                 1.1687,                0.62951,                0.80717,                0.74637,                0.52403,                 0.9349,                 1.4448,                 1.0974,             9.1333e-06,             9.1333e-06,             9.1333e-06
