                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2992,                 2.6629,                 1.2474,                0.43709,                 0.7053,                0.52329,                0.36046,                0.98778,                 2.0221,                 1.1363,               0.066985,             0.00016591,             0.00016591
                      1,                 1.2463,                  1.391,                  1.187,                0.65538,                0.75134,                0.75085,                0.51865,                0.93942,                 1.5051,                 1.0991,               0.033816,             0.00033091,             0.00033091
                      2,                 1.2166,                 1.1269,                 1.1775,                0.65919,                0.83535,                0.79717,                0.56124,                0.89004,                 1.1976,                 1.0735,             0.00064646,             0.00049425,             0.00049425
                      3,                 1.1641,                0.95331,                 1.1378,                0.76818,                0.80003,                0.83229,                0.59605,                0.86776,                  1.043,                 1.0598,              0.0004925,              0.0004925,              0.0004925
                      4,                 1.1419,                0.88034,                 1.1299,                0.76848,                 0.8057,                0.83277,                0.60404,                0.85217,                0.96893,                 1.0536,              0.0004925,              0.0004925,              0.0004925
                      5,                 1.1012,                0.80282,                 1.1052,                0.72023,                0.86955,                0.82329,                0.60181,                 0.8535,                0.93375,                 1.0586,                0.00049,                0.00049,                0.00049
                      6,                 1.0707,                0.78271,                  1.111,                0.74753,                0.85827,                0.83056,                0.61317,                0.85303,                 0.9075,                 1.0589,             0.00048751,             0.00048751,             0.00048751
                      7,                 1.0676,                0.75373,                  1.098,                0.76835,                0.78693,                0.84097,                0.61882,                0.84886,                0.88449,                 1.0514,             0.00048501,             0.00048501,             0.00048501
                      8,                  1.069,                0.73168,                 1.0926,                 0.7024,                0.88356,                0.84359,                 0.6224,                0.83805,                0.88995,                 1.0467,             0.00048251,             0.00048251,             0.00048251
                      9,                 1.0539,                0.69375,                 1.0929,                0.73152,                 0.8477,                0.83106,                0.60851,                0.83411,                0.91631,                 1.0456,             0.00048001,             0.00048001,             0.00048001
                     10,                 1.0413,                0.69895,                 1.0885,                0.75158,                0.86571,                0.83911,                0.63171,                0.82737,                0.88206,                  1.049,             0.00047751,             0.00047751,             0.00047751
                     11,                 1.0221,                0.66574,                  1.087,                0.74969,                0.83512,                 0.8337,                0.63436,                0.81718,                0.81044,                 1.0335,             0.00047501,             0.00047501,             0.00047501
                     12,                 1.0254,                0.66241,                 1.0691,                0.77438,                0.83094,                0.83449,                0.62614,                0.82168,                0.87886,                 1.0369,             0.00047251,             0.00047251,             0.00047251
                     13,                 1.0143,                0.66154,                 1.0741,                0.75465,                0.85803,                0.84542,                0.64437,                0.80134,                0.86839,                 1.0204,             0.00047001,             0.00047001,             0.00047001
                     14,                 1.0073,                0.64506,                 1.0635,                0.80317,                0.80961,                 0.8268,                0.63844,                0.80196,                0.83547,                 1.0216,             0.00046752,             0.00046752,             0.00046752
                     15,                 1.0094,                 0.6358,                 1.0569,                0.80256,                0.85291,                0.84116,                0.63438,                0.82302,                0.82656,                 1.0318,             0.00046502,             0.00046502,             0.00046502
                     16,                0.98408,                0.62701,                 1.0635,                0.75345,                0.89073,                0.82251,                0.62862,                0.79632,                0.85259,                  1.016,             0.00046252,             0.00046252,             0.00046252
                     17,                0.98714,                0.60597,                 1.0513,                0.77566,                 0.9118,                0.85005,                0.65094,                0.79983,                0.79296,                 1.0225,             0.00046002,             0.00046002,             0.00046002
                     18,                0.96297,                0.58976,                 1.0503,                0.77531,                0.86978,                0.84057,                0.64852,                0.78918,                0.79099,                 1.0236,             0.00045752,             0.00045752,             0.00045752
                     19,                0.96666,                0.58634,                 1.0454,                0.75031,                0.90855,                0.83501,                0.63529,                0.79052,                0.81847,                 1.0288,             0.00045502,             0.00045502,             0.00045502
                     20,                0.96592,                0.59178,                  1.031,                0.77023,                0.84448,                0.81819,                0.62812,                0.78567,                0.84053,                 1.0324,             0.00045252,             0.00045252,             0.00045252
                     21,                0.96172,                0.56934,                 1.0413,                 0.7965,                0.91116,                0.82707,                0.62845,                 0.7901,                0.82936,                 1.0333,             0.00045003,             0.00045003,             0.00045003
                     22,                0.94481,                0.56734,                 1.0423,                0.77988,                 0.8438,                0.83343,                0.64083,                0.77208,                0.86449,                 1.0248,             0.00044753,             0.00044753,             0.00044753
                     23,                0.92928,                0.57139,                 1.0304,                 0.7552,                0.88205,                0.82548,                0.62862,                0.79268,                0.84639,                 1.0387,             0.00044503,             0.00044503,             0.00044503
                     24,                0.94722,                0.57497,                 1.0382,                0.79708,                0.85974,                0.83837,                 0.6471,                0.79163,                0.82983,                 1.0361,             0.00044253,             0.00044253,             0.00044253
                     25,                0.94038,                0.57288,                 1.0387,                0.78757,                0.90632,                0.83474,                0.62708,                0.79994,                0.81822,                 1.0417,             0.00044003,             0.00044003,             0.00044003
                     26,                0.92072,                0.56951,                 1.0354,                0.77241,                0.88429,                0.82617,                0.62589,                 0.7979,                0.82778,                 1.0348,             0.00043753,             0.00043753,             0.00043753
                     27,                0.91307,                0.54783,                  1.021,                0.77128,                0.88698,                  0.824,                0.62525,                0.78802,                0.85705,                  1.029,             0.00043503,             0.00043503,             0.00043503
                     28,                0.91528,                 0.5602,                  1.022,                0.79151,                0.88975,                0.83032,                0.63698,                0.78626,                0.82658,                  1.025,             0.00043253,             0.00043253,             0.00043253
                     29,                0.90272,                0.54548,                  1.023,                 0.7847,                0.86334,                0.82054,                0.62121,                0.80391,                0.87034,                 1.0397,             0.00043003,             0.00043003,             0.00043003
                     30,                0.91593,                 0.5397,                  1.017,                0.78702,                0.86388,                0.81484,                0.62172,                0.78351,                0.86966,                 1.0363,             0.00042754,             0.00042754,             0.00042754
                     31,                0.90281,                0.53598,                 1.0231,                0.74687,                0.89602,                0.82354,                0.63216,                0.77502,                0.85148,                 1.0293,             0.00042504,             0.00042504,             0.00042504
                     32,                0.89321,                0.52232,                 1.0144,                0.76602,                0.87365,                 0.8271,                0.64437,                0.76153,                0.84353,                 1.0195,             0.00042254,             0.00042254,             0.00042254
