                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2898,                  2.609,                 1.2154,                  0.471,                0.67751,                0.53422,                0.36574,                0.98847,                 1.9764,                 1.1376,               0.066985,             0.00016591,             0.00016591
                      1,                  1.237,                 1.3755,                 1.1932,                0.57721,                0.77294,                0.71231,                0.50309,                0.93678,                 1.5267,                 1.1006,               0.033816,             0.00033036,             0.00033036
                      2,                 1.1922,                 1.0858,                 1.1607,                0.71483,                0.80055,                0.83493,                 0.5882,                0.90221,                 1.2237,                 1.0917,             0.00064479,             0.00049259,             0.00049259
                      3,                 1.1533,                0.95771,                 1.1422,                0.73671,                0.84041,                 0.8515,                0.61098,                0.87085,                0.99549,                 1.0682,                0.00049,                0.00049,                0.00049
                      4,                 1.1328,                0.87518,                 1.1276,                0.72266,                0.84196,                0.82819,                0.60245,                0.86394,                0.90075,                 1.0648,                0.00049,                0.00049,                0.00049
                      5,                 1.0947,                0.81268,                 1.1103,                0.73583,                0.83286,                0.83231,                0.61465,                0.86486,                0.90469,                 1.0617,             0.00048667,             0.00048667,             0.00048667
                      6,                 1.0769,                0.76778,                 1.1069,                 0.7338,                0.84267,                0.83087,                0.61597,                0.85249,                 0.8834,                 1.0543,             0.00048334,             0.00048334,             0.00048334
                      7,                 1.0703,                0.75557,                 1.0991,                0.76648,                0.82334,                0.83083,                 0.6151,                0.84911,                0.92397,                 1.0574,             0.00048001,             0.00048001,             0.00048001
                      8,                 1.0533,                0.71367,                 1.0858,                0.75678,                0.85562,                0.84049,                0.61364,                0.83798,                0.85818,                 1.0531,             0.00047668,             0.00047668,             0.00047668
                      9,                 1.0298,                0.69503,                 1.0841,                0.76614,                 0.8314,                0.83881,                0.61735,                0.83796,                0.81149,                 1.0524,             0.00047335,             0.00047335,             0.00047335
                     10,                  1.022,                0.70692,                 1.0828,                0.72581,                0.86157,                0.83878,                0.61957,                0.83439,                 0.8514,                 1.0498,             0.00047001,             0.00047001,             0.00047001
                     11,                 1.0338,                0.67326,                  1.073,                 0.7827,                0.88624,                0.84873,                0.63061,                0.82759,                0.83812,                 1.0463,             0.00046668,             0.00046668,             0.00046668
                     12,                 1.0251,                0.66954,                 1.0726,                0.74784,                0.88069,                0.84538,                0.63316,                0.81467,                0.83024,                 1.0438,             0.00046335,             0.00046335,             0.00046335
                     13,                 1.0125,                0.65452,                 1.0661,                0.78391,                0.80948,                0.83045,                0.62687,                0.81421,                0.82564,                 1.0468,             0.00046002,             0.00046002,             0.00046002
                     14,                 1.0102,                0.64865,                 1.0709,                0.76352,                0.85225,                0.82806,                0.62819,                 0.8153,                  0.823,                 1.0464,             0.00045669,             0.00045669,             0.00045669
                     15,                0.98091,                 0.6158,                 1.0644,                0.80201,                0.82322,                 0.8396,                0.63831,                0.81478,                0.84074,                 1.0406,             0.00045336,             0.00045336,             0.00045336
                     16,                 1.0178,                0.64597,                 1.0734,                0.74922,                0.85604,                0.82556,                0.63391,                0.80797,                 0.8602,                 1.0387,             0.00045003,             0.00045003,             0.00045003
                     17,                0.96878,                0.61266,                 1.0564,                0.78586,                0.83466,                0.82688,                0.63146,                0.79977,                0.82048,                 1.0391,             0.00044669,             0.00044669,             0.00044669
                     18,                 0.9819,                0.61312,                 1.0523,                  0.759,                0.86577,                0.81591,                 0.6231,                 0.7963,                0.86345,                 1.0374,             0.00044336,             0.00044336,             0.00044336
                     19,                0.96868,                 0.5943,                 1.0567,                0.78935,                 0.8444,                0.83956,                0.63286,                0.81042,                0.81024,                 1.0426,             0.00044003,             0.00044003,             0.00044003
