                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.00016,                0.83571,                      1,                0.62803,               0.003169,               0.003169,               0.003169
                     71,                0.00017,                0.83214,                      1,                0.62676,                0.00307,                0.00307,                0.00307
                     72,                0.00079,                0.84286,                      1,                0.61831,               0.002971,               0.002971,               0.002971
                     73,                0.00029,                   0.85,                      1,                0.61526,               0.002872,               0.002872,               0.002872
                     74,                0.00026,                0.84286,                      1,                0.62266,               0.002773,               0.002773,               0.002773
                     75,                0.00022,                0.82857,                      1,                0.62773,               0.002674,               0.002674,               0.002674
                     76,                 0.0003,                0.83929,                      1,                0.62085,               0.002575,               0.002575,               0.002575
                     77,                0.00017,                0.83214,                      1,                0.62498,               0.002476,               0.002476,               0.002476
                     78,                0.00012,                0.83214,                      1,                0.62559,               0.002377,               0.002377,               0.002377
                     79,                  8e-05,                0.83214,                      1,                0.62368,               0.002278,               0.002278,               0.002278
                     80,                  7e-05,                0.83571,                      1,                  0.627,               0.002179,               0.002179,               0.002179
                     81,                0.00068,                0.82143,                      1,                0.63208,                0.00208,                0.00208,                0.00208
                     82,                0.00014,                  0.825,                      1,                0.62368,               0.001981,               0.001981,               0.001981
                     83,                0.00017,                0.82857,                      1,                0.62979,               0.001882,               0.001882,               0.001882
                     84,                0.00015,                0.82857,                      1,                0.61865,               0.001783,               0.001783,               0.001783
                     85,                  7e-05,                0.83571,                      1,                0.61885,               0.001684,               0.001684,               0.001684
                     86,                0.00018,                0.83214,                      1,                0.62524,               0.001585,               0.001585,               0.001585
                     87,                  9e-05,                0.83571,                      1,                0.62026,               0.001486,               0.001486,               0.001486
                     88,                  9e-05,                0.83929,                      1,                0.62119,               0.001387,               0.001387,               0.001387
                     89,                  9e-05,                0.83571,                      1,                0.62373,               0.001288,               0.001288,               0.001288
                     90,                  4e-05,                0.82857,                      1,                 0.6272,               0.001189,               0.001189,               0.001189
                     91,                0.00014,                0.83929,                      1,                0.62034,                0.00109,                0.00109,                0.00109
                     92,                0.00011,                0.83929,                      1,                 0.6207,               0.000991,               0.000991,               0.000991
                     93,                  7e-05,                0.83571,                      1,                0.62134,               0.000892,               0.000892,               0.000892
                     94,                  9e-05,                0.82857,                      1,                0.62693,               0.000793,               0.000793,               0.000793
                     95,                  8e-05,                0.83571,                      1,                0.62061,               0.000694,               0.000694,               0.000694
                     96,                0.00013,                0.83214,                      1,                0.62529,               0.000595,               0.000595,               0.000595
                     97,                0.00014,                0.82857,                      1,                0.62739,               0.000496,               0.000496,               0.000496
                     98,                 0.0001,                0.82857,                      1,                0.62744,               0.000397,               0.000397,               0.000397
                     99,                  8e-05,                0.83214,                      1,                0.62529,               0.000298,               0.000298,               0.000298
