                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2326,                 1.5419,                 1.1932,                 0.6734,                0.78176,                0.78678,                0.56782,                0.89081,                 1.3076,                 1.0643,               0.070137,              0.0033181,              0.0033181
                      1,                 1.1737,                0.98566,                 1.1439,                0.68234,                0.85312,                0.76471,                0.52996,                0.95029,                 1.2875,                 1.1262,               0.040071,              0.0065856,              0.0065856
                      2,                 1.1972,                 1.0326,                 1.1668,                0.56451,                0.80447,                0.72082,                0.49224,                0.96293,                 1.4752,                 1.1763,              0.0099393,              0.0097871,              0.0097871
                      3,                 1.2396,                 1.0248,                 1.1912,                0.75241,                0.75625,                 0.7887,                0.51728,                 1.0302,                 1.0303,                 1.1841,               0.009703,               0.009703,               0.009703
                      4,                 1.2704,                 1.0141,                  1.208,                0.67788,                 0.7767,                0.76464,                0.51195,                 1.0662,                 1.0572,                 1.2251,               0.009703,               0.009703,               0.009703
                      5,                 1.3164,                  1.034,                 1.2239,                0.73222,                0.70855,                0.73674,                0.45796,                 1.1514,                 1.1425,                 1.3327,               0.009604,               0.009604,               0.009604
                      6,                  1.284,                 1.0208,                 1.2322,                0.64301,                 0.7455,                0.71823,                0.45345,                  1.172,                 1.4474,                  1.358,               0.009505,               0.009505,               0.009505
                      7,                 1.2832,                 1.0213,                 1.2279,                 0.7716,                0.70986,                0.78186,                0.48715,                 1.2032,                 1.0983,                 1.4062,               0.009406,               0.009406,               0.009406
                      8,                 1.2948,                 0.9747,                 1.2172,                0.69226,                0.75519,                0.74846,                0.46804,                  1.132,                 1.1783,                 1.3546,               0.009307,               0.009307,               0.009307
                      9,                 1.2857,                0.96382,                 1.2182,                 0.6574,                0.75968,                0.78523,                0.48726,                 1.0885,                 1.1415,                 1.2675,               0.009208,               0.009208,               0.009208
                     10,                 1.2809,                0.96636,                 1.2333,                0.74916,                0.70726,                0.75218,                0.47657,                 1.1047,                 1.1782,                 1.3033,               0.009109,               0.009109,               0.009109
                     11,                 1.2586,                0.95676,                 1.2246,                 0.6217,                0.78024,                 0.7223,                0.46977,                 1.1266,                 1.1395,                 1.2917,                0.00901,                0.00901,                0.00901
                     12,                 1.2505,                0.92541,                 1.1974,                0.62967,                0.75424,                0.74923,                 0.4704,                 1.0858,                 1.2054,                 1.2903,               0.008911,               0.008911,               0.008911
                     13,                  1.217,                 0.9295,                 1.2003,                0.59988,                0.82136,                0.76186,                0.48872,                 1.0614,                 1.1551,                 1.2874,               0.008812,               0.008812,               0.008812
                     14,                 1.2134,                0.88296,                 1.1881,                0.72324,                0.73112,                0.76351,                0.50003,                 1.0628,                 1.0836,                 1.2903,               0.008713,               0.008713,               0.008713
