                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.78107,                0.52039,                0.98657,                0.82276,                 0.7624,                0.80183,                0.59205,                0.73471,                0.76026,                 1.0987,                0.00769,                0.00769,                0.00769
                     37,                 0.7819,                0.51265,                0.97141,                0.84773,                0.74475,                0.80678,                0.58127,                0.75428,                0.67965,                 1.1201,               0.007624,               0.007624,               0.007624
                     38,                0.78383,                0.51471,                0.97781,                0.72227,                0.75321,                0.76001,                0.55988,                0.72808,                0.63629,                 1.1217,               0.007558,               0.007558,               0.007558
                     39,                0.77573,                0.51396,                 0.9751,                0.85472,                0.69625,                0.77148,                0.58316,                0.79105,                0.72472,                 1.1649,               0.007492,               0.007492,               0.007492
                     40,                0.77773,                 0.5111,                0.97046,                0.79964,                0.72998,                0.74725,                0.53409,                0.82978,                0.92538,                 1.2508,               0.007426,               0.007426,               0.007426
                     41,                0.75726,                0.50281,                0.96002,                0.76895,                0.74223,                0.77618,                0.56837,                0.79452,                0.69498,                 1.1796,                0.00736,                0.00736,                0.00736
                     42,                0.76398,                  0.513,                0.97098,                0.83086,                0.77038,                 0.7906,                0.57617,                0.84867,                0.56103,                 1.2927,               0.007294,               0.007294,               0.007294
                     43,                0.76064,                0.50167,                0.96519,                0.80368,                0.80802,                0.81948,                0.58091,                0.74946,                0.53623,                 1.1398,               0.007228,               0.007228,               0.007228
                     44,                0.74638,                0.48717,                0.96114,                0.82188,                 0.7472,                0.80878,                0.58511,                0.80779,                0.69409,                 1.2005,               0.007162,               0.007162,               0.007162
                     45,                0.75668,                0.49797,                 0.9642,                0.74433,                0.73806,                0.77755,                 0.5691,                0.82143,                0.91572,                 1.2379,               0.007096,               0.007096,               0.007096
                     46,                0.74417,                0.48972,                0.96432,                 0.7832,                 0.7553,                0.77464,                0.57085,                0.73479,                0.78976,                 1.1477,                0.00703,                0.00703,                0.00703
                     47,                0.73604,                0.48264,                0.95704,                 0.8139,                 0.7759,                0.81212,                0.58259,                0.75217,                0.56578,                 1.1489,               0.006964,               0.006964,               0.006964
                     48,                0.73623,                0.48464,                0.95753,                0.81141,                 0.7339,                0.77661,                0.54913,                0.77818,                 0.7774,                 1.1681,               0.006898,               0.006898,               0.006898
                     49,                0.73648,                0.47903,                0.95365,                0.77042,                0.72773,                0.77441,                0.56573,                0.74257,                0.78546,                 1.1281,               0.006832,               0.006832,               0.006832
