                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.218,                 1.6101,                 1.1997,                0.70623,                0.83164,                0.88421,                0.63822,                0.86073,                 0.9613,                 1.0715,                0.07012,              0.0033199,              0.0033199
                      1,                   1.11,                 1.0198,                 1.1302,                0.75163,                0.86872,                0.88119,                0.63925,                0.91835,                0.84321,                  1.123,               0.040055,              0.0065874,              0.0065874
                      2,                 1.1289,                0.99729,                 1.1455,                0.71094,                0.80424,                 0.8426,                0.55091,                 1.0256,                 1.1028,                 1.2296,              0.0099227,              0.0097889,              0.0097889
                      3,                 1.1752,                 1.0715,                 1.1783,                0.64174,                 0.7078,                0.76416,                0.48259,                 1.2223,                  1.094,                 1.3285,               0.009703,               0.009703,               0.009703
                      4,                 1.2363,                 1.0973,                 1.2152,                 0.6646,                0.71409,                0.68244,                0.43165,                 1.2107,                 1.3084,                 1.3513,               0.009703,               0.009703,               0.009703
                      5,                 1.2569,                  1.079,                 1.2346,                0.66785,                0.80478,                0.76961,                0.47367,                 1.2142,                 1.1313,                 1.3187,               0.009604,               0.009604,               0.009604
                      6,                 1.2235,                 1.0359,                 1.2272,                0.64017,                0.79609,                0.77177,                0.48872,                 1.2441,                 1.1364,                 1.4079,               0.009505,               0.009505,               0.009505
                      7,                 1.2312,                 1.0497,                 1.2331,                0.72767,                0.70654,                0.80738,                0.50344,                 1.1877,                 1.0988,                 1.3934,               0.009406,               0.009406,               0.009406
                      8,                 1.2203,                 1.0159,                 1.2085,                0.69484,                0.71261,                0.71188,                0.46504,                 1.2077,                 1.1636,                 1.4305,               0.009307,               0.009307,               0.009307
                      9,                 1.2225,                 1.0415,                 1.2284,                0.66056,                0.72445,                0.72684,                0.44507,                 1.2665,                 1.2585,                 1.4382,               0.009208,               0.009208,               0.009208
                     10,                 1.2048,                0.97893,                 1.2044,                0.71279,                0.73258,                0.79017,                 0.5005,                 1.1538,                 1.0477,                 1.2998,               0.009109,               0.009109,               0.009109
                     11,                 1.1791,                0.98453,                 1.1942,                0.70481,                0.77713,                0.82388,                0.54227,                 1.1408,                0.92413,                  1.331,                0.00901,                0.00901,                0.00901
                     12,                 1.1698,                0.91596,                 1.1833,                0.71463,                0.77773,                0.80467,                0.49968,                 1.2017,                0.96462,                 1.3566,               0.008911,               0.008911,               0.008911
                     13,                 1.1669,                0.92761,                 1.1985,                0.67339,                0.69968,                0.77756,                0.51081,                 1.1169,                 1.0232,                 1.2809,               0.008812,               0.008812,               0.008812
                     14,                 1.1416,                 0.8923,                 1.1761,                0.77439,                0.75475,                0.81063,                0.52417,                 1.1674,                 1.0045,                 1.3495,               0.008713,               0.008713,               0.008713
                     15,                 1.1302,                 0.8717,                 1.1833,                0.68582,                 0.7846,                0.80321,                0.50265,                 1.1786,                 1.0309,                 1.3481,               0.008614,               0.008614,               0.008614
                     16,                 1.1218,                0.84745,                 1.1523,                0.82142,                0.78127,                 0.8749,                0.56464,                 1.0961,                0.84593,                 1.2683,               0.008515,               0.008515,               0.008515
